,society_name,short_description,bhk,square_feet,price,description
108,Jaypee Greens Star Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"2,389 sqft",₹3.25 Cr,"Jaypee greens star court is one of greater noida's most sought after destination for apartments and this 3 bhk flat in jaypee greens is your opportunity to be a part of this community. This is a east-Facing property. The floor plan additionally contains 3 bedroom(s), 4 bathrooms and 1 balcony. All in all, the flat is spread over a carpet area of 2389 sq.Ft. The residential building has 19 floor..."
109,Jaypee Greens Star Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"2,106 sqft",₹3 Cr,"Located in the popular residential address of jaypee greens, greater noida, jaypee greens star court is one of the most preferred destination for apartments in greater noida. This 3 bhk flat is your ticket to be a part of this community. This property faces the east direction. The flat is over 2106 sq.Ft. Super built up area and comes with 3 bedroom(s), 4 bathrooms and 1 balcony. The flat has a..."
110,Jaypee Greens Town Homes,"4 Bedroom House in Jaypee Greens, Greater Noida",4 BHK,"2,700 sqft",₹12 Cr,"With a built-Up area of approx. 325 sq. Mts. (3500 sq. Ft.), these elegant town homes in jaypee greens greater noida are set in lush landscaped neighborhoods on the periphery of the golf course. Planned as a private and exclusive enclave close to the golf club and overlooking the 16thand 17thhole of the golf course, these homes are an effortless mix of comfort and convenience. Enchanting with a..."
111,Jaypee Greens Crescent Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"2,690 sqft",₹4.5 Cr,"This lovely 2 bhk apartment/flat in jaypee greens is available for sale in one of greater noida's most popular projects, jaypee greens crescent court. The floor plan additionally contains 2 bedroom(s), 3 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 2691 sq.Ft. The residential building has 22 floors in total and the flat for sale is located on the 8th f..."
112,Jaypee Greens Villas,"5 Bedroom House in Jaypee Greens, Greater Noida",5 BHK,"5,800 sqft",₹18.5 Cr,"Nsconced within the luxurious city of jaypee greens greater noida, the independent villas are externally finished homes in close proximity to nature reserve park & golf course. Each villa is built on a plot of over 418 sq. Mts. (500 sq. Yards) with courtyards specifically designed to serve as extensions of the indoor living spaces, whilst offering large bedrooms, a family room and dining room, ..."
113,Jaypee Greens Star Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"2,051 sqft",₹3 Cr,"This beautiful 2 bhk flat in jaypee greens, greater noida is situated in jaypee greens star court, one of the popular residential society in greater noida. This property faces the north-East direction. The floor plan additionally contains 2 bedroom(s), 3 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 2051 sq.Ft. This flat lies on the ground level of a 19..."
114,Jaypee Greens The Castille 3,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"2,333 sqft",₹2.1 Cr,"This lovely 3 bhk apartment/flat in jaypee greens is available for sale in one of greater noida's most popular projects, jaypee greens the castille 3. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 2333 sq.Ft. The residential building has 5 floors in total and the flat for sale is located on the 4th fl..."
115,Jaypee Greens Star Court,"1 BHK Flat in Jaypee Greens, Greater Noida",1 BHK,456 sqft,₹75 Lac,"Looking for a 1 bhk property for sale in greater noida? Buy this 1 bhk flat in jaypee greens star court that is situated in jaypee greens, greater noida. Containing 1 bedroom(s), 1 bathroom and 1 balcony, this flat is spread over a carpet area of 456 sq.Ft. This flat is situated on the 18th floor of this 19 floors tall residential building. An added advantage of this 5-10 years old flat is that..."
116,Jaypee Greens Star Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"2,100 sqft",₹3 Cr,We make good deal share with buyer & seller
117,Jaypee Greens Spa Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"2,150 sqft",₹3 Cr,"This beautiful 3 bhk flat in jaypee greens, greater noida is situated in jaypee greens spa court, one of the popular residential society in greater noida. The flat is over 2150 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and 2 balconies. The property is located on the 2nd floor of a 4 floors tall building. An added advantage of this 5-10 years old flat is that it is avai..."
118,Jaypee Greens Star Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"1,705 sqft",₹2.15 Cr,"This lovely 2 bhk apartment/flat in jaypee greens is available for sale in one of greater noida's most popular projects, jaypee greens star court. This property faces the north-East direction. The flat occupies a super built up area of 1705 sq.Ft. That consists of 2 bedrooms, 3 bathrooms and 1 balcony. The flat has a total of 19 floors and this property is situated on 9th floor. This 1-5 years ..."
119,Jaypee Greens Villas,"5 Bedroom House in Jaypee Greens, Greater Noida",5 BHK,500 sqft,₹18 Cr,"Independent stand alone 5 bedroom fully air conditioned villa basement +g+2 floors available by nri based in dubai. The house is exquisitely designed to cater to international companies top executives. The villa is made inside and outside in spanish tastes, boasts of back garden and front yard and green patch with a mature christmas tree It has ensute 5 bedrooms with attached bathrooms, 1 large..."
